Language,Product ID,Display Name,Description
en-US,com.cartostar.pro.monthly,CartoStar Pro Monthly,"Full access to CartoStar astrocartography features. Includes 3D interactive globe, city rankings with Scout, planetary line interpretations, natal chart analysis, and 50 AI-powered questions per month. Billed monthly. Cancel anytime."
en-US,com.cartostar.pro.annual,CartoStar Pro Annual,"Full access to CartoStar astrocartography features at our best value. Includes 3D interactive globe, city rankings with Scout, planetary line interpretations, natal chart analysis, and 50 AI-powered questions per month. Save 50% compared to monthly. Billed annually."
en-US,com.cartostar.duo.monthly,CartoStar Duo Monthly,"Everything in Pro plus Duo Mode for partner compatibility. Compare two birth charts to find ideal honeymoon spots, relocation cities, or travel destinations where both people thrive. Includes 100 AI questions per month. Perfect for couples. Billed monthly."
en-US,com.cartostar.duo.annual,CartoStar Duo Annual,"Everything in Pro plus Duo Mode for partner compatibility at our best value. Compare two birth charts to find ideal shared destinations. Includes 100 AI questions per month. Save 50% compared to monthly. Perfect for couples planning together. Billed annually."
en-US,com.cartostar.lifetime,CartoStar Lifetime,"Pay once, own forever. Includes all Pro and Duo features with permanent access. 3D globe, city rankings, planetary line interpretations, Duo Mode for partner compatibility, and 200 AI questions. All future features included. One-time purchase."
es-ES,com.cartostar.pro.monthly,CartoStar Pro Mensual,"Acceso completo a las funciones de astrocartografía de CartoStar. Incluye globo 3D interactivo, clasificación de ciudades con Scout, interpretaciones de líneas planetarias, análisis de carta natal y 50 preguntas con IA al mes. Facturación mensual. Cancela cuando quieras."
es-ES,com.cartostar.pro.annual,CartoStar Pro Anual,"Acceso completo a las funciones de astrocartografía de CartoStar con el mejor precio. Incluye globo 3D interactivo, clasificación de ciudades con Scout, interpretaciones de líneas planetarias, análisis de carta natal y 50 preguntas con IA al mes. Ahorra 50% vs mensual. Facturación anual."
es-ES,com.cartostar.duo.monthly,CartoStar Duo Mensual,"Todo lo de Pro más el Modo Duo para compatibilidad de pareja. Compara dos cartas natales para encontrar destinos ideales para luna de miel, mudanzas o viajes donde ambos prosperen. Incluye 100 preguntas IA al mes. Perfecto para parejas. Facturación mensual."
es-ES,com.cartostar.duo.annual,CartoStar Duo Anual,"Todo lo de Pro más el Modo Duo para compatibilidad de pareja con el mejor precio. Compara dos cartas natales para encontrar destinos compartidos ideales. Incluye 100 preguntas IA al mes. Ahorra 50% vs mensual. Perfecto para parejas. Facturación anual."
es-ES,com.cartostar.lifetime,CartoStar Vitalicio,"Paga una vez, tuyo para siempre. Incluye todas las funciones Pro y Duo con acceso permanente. Globo 3D, clasificación de ciudades, interpretaciones de líneas planetarias, Modo Duo y 200 preguntas IA. Todas las futuras funciones incluidas. Compra única."
es-MX,com.cartostar.pro.monthly,CartoStar Pro Mensual,"Acceso completo a las funciones de astrocartografía de CartoStar. Incluye globo 3D interactivo, clasificación de ciudades con Scout, interpretaciones de líneas planetarias, análisis de carta natal y 50 preguntas con IA al mes. Facturación mensual. Cancela cuando quieras."
es-MX,com.cartostar.pro.annual,CartoStar Pro Anual,"Acceso completo a las funciones de astrocartografía de CartoStar con el mejor precio. Incluye globo 3D interactivo, clasificación de ciudades con Scout, interpretaciones de líneas planetarias, análisis de carta natal y 50 preguntas con IA al mes. Ahorra 50% vs mensual. Facturación anual."
es-MX,com.cartostar.duo.monthly,CartoStar Duo Mensual,"Todo lo de Pro más el Modo Duo para compatibilidad de pareja. Compara dos cartas natales para encontrar destinos ideales para luna de miel, mudanzas o viajes donde ambos prosperen. Incluye 100 preguntas IA al mes. Perfecto para parejas. Facturación mensual."
es-MX,com.cartostar.duo.annual,CartoStar Duo Anual,"Todo lo de Pro más el Modo Duo para compatibilidad de pareja con el mejor precio. Compara dos cartas natales para encontrar destinos compartidos ideales. Incluye 100 preguntas IA al mes. Ahorra 50% vs mensual. Perfecto para parejas. Facturación anual."
es-MX,com.cartostar.lifetime,CartoStar Vitalicio,"Paga una vez, tuyo para siempre. Incluye todas las funciones Pro y Duo con acceso permanente. Globo 3D, clasificación de ciudades, interpretaciones de líneas planetarias, Modo Duo y 200 preguntas IA. Todas las futuras funciones incluidas. Compra única."
fr-FR,com.cartostar.pro.monthly,CartoStar Pro Mensuel,"Accès complet aux fonctionnalités d'astrocartographie de CartoStar. Comprend le globe 3D interactif, le classement des villes avec Scout, les interprétations des lignes planétaires, l'analyse du thème natal et 50 questions IA par mois. Facturation mensuelle. Annulez à tout moment."
fr-FR,com.cartostar.pro.annual,CartoStar Pro Annuel,"Accès complet aux fonctionnalités d'astrocartographie de CartoStar au meilleur prix. Comprend le globe 3D interactif, le classement des villes avec Scout, les interprétations des lignes planétaires, l'analyse du thème natal et 50 questions IA par mois. Économisez 50%. Facturation annuelle."
fr-FR,com.cartostar.duo.monthly,CartoStar Duo Mensuel,"Tout ce qui est dans Pro plus le Mode Duo pour la compatibilité de couple. Comparez deux thèmes natals pour trouver des destinations idéales pour lune de miel, déménagement ou voyage où les deux s'épanouissent. Inclut 100 questions IA par mois. Parfait pour les couples. Facturation mensuelle."
fr-FR,com.cartostar.duo.annual,CartoStar Duo Annuel,"Tout ce qui est dans Pro plus le Mode Duo pour la compatibilité de couple au meilleur prix. Comparez deux thèmes natals pour trouver des destinations partagées idéales. Inclut 100 questions IA par mois. Économisez 50%. Parfait pour les couples. Facturation annuelle."
fr-FR,com.cartostar.lifetime,CartoStar À Vie,"Payez une fois, possédez pour toujours. Inclut toutes les fonctionnalités Pro et Duo avec accès permanent. Globe 3D, classement des villes, interprétations des lignes planétaires, Mode Duo et 200 questions IA. Toutes les futures fonctionnalités incluses. Achat unique."
fr-CA,com.cartostar.pro.monthly,CartoStar Pro Mensuel,"Accès complet aux fonctionnalités d'astrocartographie de CartoStar. Comprend le globe 3D interactif, le classement des villes avec Scout, les interprétations des lignes planétaires, l'analyse du thème natal et 50 questions IA par mois. Facturation mensuelle. Annulez à tout moment."
fr-CA,com.cartostar.pro.annual,CartoStar Pro Annuel,"Accès complet aux fonctionnalités d'astrocartographie de CartoStar au meilleur prix. Comprend le globe 3D interactif, le classement des villes avec Scout, les interprétations des lignes planétaires, l'analyse du thème natal et 50 questions IA par mois. Économisez 50%. Facturation annuelle."
fr-CA,com.cartostar.duo.monthly,CartoStar Duo Mensuel,"Tout ce qui est dans Pro plus le Mode Duo pour la compatibilité de couple. Comparez deux thèmes natals pour trouver des destinations idéales pour lune de miel, déménagement ou voyage où les deux s'épanouissent. Inclut 100 questions IA par mois. Parfait pour les couples. Facturation mensuelle."
fr-CA,com.cartostar.duo.annual,CartoStar Duo Annuel,"Tout ce qui est dans Pro plus le Mode Duo pour la compatibilité de couple au meilleur prix. Comparez deux thèmes natals pour trouver des destinations partagées idéales. Inclut 100 questions IA par mois. Économisez 50%. Parfait pour les couples. Facturation annuelle."
fr-CA,com.cartostar.lifetime,CartoStar À Vie,"Payez une fois, possédez pour toujours. Inclut toutes les fonctionnalités Pro et Duo avec accès permanent. Globe 3D, classement des villes, interprétations des lignes planétaires, Mode Duo et 200 questions IA. Toutes les futures fonctionnalités incluses. Achat unique."
de-DE,com.cartostar.pro.monthly,CartoStar Pro Monatlich,"Voller Zugang zu CartoStar Astrokartographie-Funktionen. Enthält interaktiven 3D-Globus, Städte-Rankings mit Scout, Planetenlinien-Interpretationen, Geburtshoroskop-Analyse und 50 KI-gestützte Fragen pro Monat. Monatliche Abrechnung. Jederzeit kündbar."
de-DE,com.cartostar.pro.annual,CartoStar Pro Jährlich,"Voller Zugang zu CartoStar Astrokartographie-Funktionen zum besten Preis. Enthält interaktiven 3D-Globus, Städte-Rankings mit Scout, Planetenlinien-Interpretationen, Geburtshoroskop-Analyse und 50 KI-gestützte Fragen pro Monat. 50% sparen. Jährliche Abrechnung."
de-DE,com.cartostar.duo.monthly,CartoStar Duo Monatlich,"Alles aus Pro plus Duo-Modus für Partner-Kompatibilität. Vergleiche zwei Geburtshoroskope, um ideale Flitterwochen-, Umzugs- oder Reiseziele zu finden, an denen beide aufblühen. Enthält 100 KI-Fragen pro Monat. Perfekt für Paare. Monatliche Abrechnung."
de-DE,com.cartostar.duo.annual,CartoStar Duo Jährlich,"Alles aus Pro plus Duo-Modus für Partner-Kompatibilität zum besten Preis. Vergleiche zwei Geburtshoroskope, um ideale gemeinsame Ziele zu finden. Enthält 100 KI-Fragen pro Monat. 50% sparen. Perfekt für Paare. Jährliche Abrechnung."
de-DE,com.cartostar.lifetime,CartoStar Lebenslang,"Einmal zahlen, für immer besitzen. Enthält alle Pro- und Duo-Funktionen mit dauerhaftem Zugang. 3D-Globus, Städte-Rankings, Planetenlinien-Interpretationen, Duo-Modus und 200 KI-Fragen. Alle zukünftigen Funktionen inklusive. Einmaliger Kauf."
it-IT,com.cartostar.pro.monthly,CartoStar Pro Mensile,"Accesso completo alle funzionalità di astrocartografia di CartoStar. Include globo 3D interattivo, classifiche delle città con Scout, interpretazioni delle linee planetarie, analisi del tema natale e 50 domande IA al mese. Fatturazione mensile. Annulla quando vuoi."
it-IT,com.cartostar.pro.annual,CartoStar Pro Annuale,"Accesso completo alle funzionalità di astrocartografia di CartoStar al miglior prezzo. Include globo 3D interattivo, classifiche delle città con Scout, interpretazioni delle linee planetarie, analisi del tema natale e 50 domande IA al mese. Risparmia 50%. Fatturazione annuale."
it-IT,com.cartostar.duo.monthly,CartoStar Duo Mensile,"Tutto ciò che è in Pro più la Modalità Duo per la compatibilità di coppia. Confronta due temi natali per trovare destinazioni ideali per luna di miele, trasferimento o viaggi dove entrambi prosperano. Include 100 domande IA al mese. Perfetto per coppie. Fatturazione mensile."
it-IT,com.cartostar.duo.annual,CartoStar Duo Annuale,"Tutto ciò che è in Pro più la Modalità Duo per la compatibilità di coppia al miglior prezzo. Confronta due temi natali per trovare destinazioni condivise ideali. Include 100 domande IA al mese. Risparmia 50%. Perfetto per coppie. Fatturazione annuale."
it-IT,com.cartostar.lifetime,CartoStar A Vita,"Paga una volta, possiedi per sempre. Include tutte le funzionalità Pro e Duo con accesso permanente. Globo 3D, classifiche delle città, interpretazioni delle linee planetarie, Modalità Duo e 200 domande IA. Tutte le future funzionalità incluse. Acquisto unico."
pt-BR,com.cartostar.pro.monthly,CartoStar Pro Mensal,"Acesso completo aos recursos de astrocartografia do CartoStar. Inclui globo 3D interativo, classificação de cidades com Scout, interpretações de linhas planetárias, análise de mapa natal e 50 perguntas com IA por mês. Cobrança mensal. Cancele a qualquer momento."
pt-BR,com.cartostar.pro.annual,CartoStar Pro Anual,"Acesso completo aos recursos de astrocartografia do CartoStar com o melhor preço. Inclui globo 3D interativo, classificação de cidades com Scout, interpretações de linhas planetárias, análise de mapa natal e 50 perguntas com IA por mês. Economize 50%. Cobrança anual."
pt-BR,com.cartostar.duo.monthly,CartoStar Duo Mensal,"Tudo do Pro mais o Modo Duo para compatibilidade de casal. Compare dois mapas natais para encontrar destinos ideais para lua de mel, mudança ou viagens onde ambos prosperam. Inclui 100 perguntas IA por mês. Perfeito para casais. Cobrança mensal."
pt-BR,com.cartostar.duo.annual,CartoStar Duo Anual,"Tudo do Pro mais o Modo Duo para compatibilidade de casal com o melhor preço. Compare dois mapas natais para encontrar destinos compartilhados ideais. Inclui 100 perguntas IA por mês. Economize 50%. Perfeito para casais. Cobrança anual."
pt-BR,com.cartostar.lifetime,CartoStar Vitalício,"Pague uma vez, seu para sempre. Inclui todos os recursos Pro e Duo com acesso permanente. Globo 3D, classificação de cidades, interpretações de linhas planetárias, Modo Duo e 200 perguntas IA. Todos os recursos futuros incluídos. Compra única."
pt-PT,com.cartostar.pro.monthly,CartoStar Pro Mensal,"Acesso completo às funcionalidades de astrocartografia do CartoStar. Inclui globo 3D interativo, classificação de cidades com Scout, interpretações de linhas planetárias, análise de mapa natal e 50 perguntas com IA por mês. Faturação mensal. Cancele quando quiser."
pt-PT,com.cartostar.pro.annual,CartoStar Pro Anual,"Acesso completo às funcionalidades de astrocartografia do CartoStar com o melhor preço. Inclui globo 3D interativo, classificação de cidades com Scout, interpretações de linhas planetárias, análise de mapa natal e 50 perguntas com IA por mês. Poupe 50%. Faturação anual."
pt-PT,com.cartostar.duo.monthly,CartoStar Duo Mensal,"Tudo do Pro mais o Modo Duo para compatibilidade de casal. Compare dois mapas natais para encontrar destinos ideais para lua de mel, mudança ou viagens onde ambos prosperam. Inclui 100 perguntas IA por mês. Perfeito para casais. Faturação mensal."
pt-PT,com.cartostar.duo.annual,CartoStar Duo Anual,"Tudo do Pro mais o Modo Duo para compatibilidade de casal com o melhor preço. Compare dois mapas natais para encontrar destinos partilhados ideais. Inclui 100 perguntas IA por mês. Poupe 50%. Perfeito para casais. Faturação anual."
pt-PT,com.cartostar.lifetime,CartoStar Vitalício,"Pague uma vez, seu para sempre. Inclui todas as funcionalidades Pro e Duo com acesso permanente. Globo 3D, classificação de cidades, interpretações de linhas planetárias, Modo Duo e 200 perguntas IA. Todas as funcionalidades futuras incluídas. Compra única."
ja,com.cartostar.pro.monthly,CartoStar Pro 月額,"CartoStarのアストロカートグラフィー機能へのフルアクセス。3Dインタラクティブ地球儀、Scoutによる都市ランキング、惑星ラインの解釈、出生図分析、月50回のAI質問を含みます。月額課金。いつでもキャンセル可能。"
ja,com.cartostar.pro.annual,CartoStar Pro 年額,"最もお得な価格でCartoStarのアストロカートグラフィー機能へのフルアクセス。3Dインタラクティブ地球儀、Scoutによる都市ランキング、惑星ラインの解釈、出生図分析、月50回のAI質問を含みます。月額より50%お得。年額課金。"
ja,com.cartostar.duo.monthly,CartoStar Duo 月額,"Proのすべてに加え、パートナー相性のためのDuoモード。2つの出生図を比較して、新婚旅行、移住、または両者が繁栄する旅行先を見つけましょう。月100回のAI質問を含みます。カップルに最適。月額課金。"
ja,com.cartostar.duo.annual,CartoStar Duo 年額,"最もお得な価格でProのすべてに加え、パートナー相性のためのDuoモード。2つの出生図を比較して理想的な共有目的地を見つけましょう。月100回のAI質問を含みます。月額より50%お得。カップルに最適。年額課金。"
ja,com.cartostar.lifetime,CartoStar 永久版,"一度の支払いで永久に所有。永続的なアクセスでProとDuoのすべての機能を含みます。3D地球儀、都市ランキング、惑星ラインの解釈、Duoモード、200回のAI質問。将来のすべての機能が含まれます。一回限りの購入。"
ko,com.cartostar.pro.monthly,CartoStar Pro 월간,"CartoStar 점성 지도 기능에 대한 전체 액세스. 3D 인터랙티브 지구본, Scout를 통한 도시 순위, 행성 라인 해석, 출생 차트 분석 및 월 50개의 AI 질문이 포함됩니다. 월간 청구. 언제든지 취소 가능."
ko,com.cartostar.pro.annual,CartoStar Pro 연간,"최고의 가격으로 CartoStar 점성 지도 기능에 대한 전체 액세스. 3D 인터랙티브 지구본, Scout를 통한 도시 순위, 행성 라인 해석, 출생 차트 분석 및 월 50개의 AI 질문이 포함됩니다. 월간 대비 50% 절약. 연간 청구."
ko,com.cartostar.duo.monthly,CartoStar Duo 월간,"Pro의 모든 것에 파트너 호환성을 위한 Duo 모드 추가. 두 개의 출생 차트를 비교하여 허니문, 이사 또는 둘 다 번창하는 여행지를 찾으세요. 월 100개의 AI 질문 포함. 커플에게 완벽합니다. 월간 청구."
ko,com.cartostar.duo.annual,CartoStar Duo 연간,"최고의 가격으로 Pro의 모든 것에 파트너 호환성을 위한 Duo 모드 추가. 두 개의 출생 차트를 비교하여 이상적인 공유 목적지를 찾으세요. 월 100개의 AI 질문 포함. 월간 대비 50% 절약. 커플에게 완벽합니다. 연간 청구."
ko,com.cartostar.lifetime,CartoStar 평생,"한 번 결제하고 영원히 소유하세요. 영구 액세스로 모든 Pro 및 Duo 기능을 포함합니다. 3D 지구본, 도시 순위, 행성 라인 해석, Duo 모드 및 200개의 AI 질문. 모든 향후 기능이 포함됩니다. 일회성 구매."
zh-Hans,com.cartostar.pro.monthly,CartoStar Pro 月度,"完整访问CartoStar星象地图功能。包括3D互动地球仪、Scout城市排名、行星线解读、本命盘分析和每月50个AI问题。按月计费。随时取消。"
zh-Hans,com.cartostar.pro.annual,CartoStar Pro 年度,"以最优惠的价格完整访问CartoStar星象地图功能。包括3D互动地球仪、Scout城市排名、行星线解读、本命盘分析和每月50个AI问题。比月度节省50%。按年计费。"
zh-Hans,com.cartostar.duo.monthly,CartoStar Duo 月度,"Pro的所有功能，外加用于伴侣兼容性的Duo模式。比较两个本命盘，找到理想的蜜月、搬迁或双方都蓬勃发展的旅行目的地。包括每月100个AI问题。非常适合情侣。按月计费。"
zh-Hans,com.cartostar.duo.annual,CartoStar Duo 年度,"以最优惠的价格获得Pro的所有功能，外加用于伴侣兼容性的Duo模式。比较两个本命盘，找到理想的共同目的地。包括每月100个AI问题。比月度节省50%。非常适合情侣。按年计费。"
zh-Hans,com.cartostar.lifetime,CartoStar 终身版,"一次付款，永久拥有。包括所有Pro和Duo功能，永久访问。3D地球仪、城市排名、行星线解读、Duo模式和200个AI问题。包含所有未来功能。一次性购买。"
zh-Hant,com.cartostar.pro.monthly,CartoStar Pro 月費,"完整存取CartoStar星象地圖功能。包括3D互動地球儀、Scout城市排名、行星線解讀、本命盤分析和每月50個AI問題。按月計費。隨時取消。"
zh-Hant,com.cartostar.pro.annual,CartoStar Pro 年費,"以最優惠的價格完整存取CartoStar星象地圖功能。包括3D互動地球儀、Scout城市排名、行星線解讀、本命盤分析和每月50個AI問題。比月費節省50%。按年計費。"
zh-Hant,com.cartostar.duo.monthly,CartoStar Duo 月費,"Pro的所有功能，外加用於伴侶相容性的Duo模式。比較兩個本命盤，找到理想的蜜月、搬遷或雙方都蓬勃發展的旅行目的地。包括每月100個AI問題。非常適合情侶。按月計費。"
zh-Hant,com.cartostar.duo.annual,CartoStar Duo 年費,"以最優惠的價格獲得Pro的所有功能，外加用於伴侶相容性的Duo模式。比較兩個本命盤，找到理想的共同目的地。包括每月100個AI問題。比月費節省50%。非常適合情侶。按年計費。"
zh-Hant,com.cartostar.lifetime,CartoStar 終身版,"一次付款，永久擁有。包括所有Pro和Duo功能，永久存取。3D地球儀、城市排名、行星線解讀、Duo模式和200個AI問題。包含所有未來功能。一次性購買。"
